Rank,Stock,Live Price,Momentum %,ID,Signal,Target Amount,Shares,Invested Amount,Weight %,Cash After Allocation
1,NATIONALUM,350.5,0.0,-0.1782178217821782,HOLD,1402.0,4,1402.0,7.01,7739.72
2,FEDERALBNK,332.75,0.0,-0.1741293532338308,HOLD,1331.0,4,1331.0,6.65,7739.72
3,BHEL,439.9,0.0,-0.1599999999999999,HOLD,1319.7,3,1319.7,6.6,7739.72
4,HINDALCO,986.5,0.0,-0.1584158415841584,HOLD,986.5,1,986.5,4.93,7739.72
7,SHRIRAMFIN,1010.0,0.0,-0.1343283582089552,HOLD,1010.0,1,1010.0,5.05,7739.72
11,BANKINDIA,140.0,0.0,-0.1188118811881188,HOLD,1400.0,10,1400.0,7.0,7739.72
12,INDUSINDBK,966.3,0.0,-0.11,HOLD,966.3,1,966.3,4.83,7739.72
13,ADANIENSOL,1436.1,0.0,-0.1089108910891089,HOLD,1436.1,1,1436.1,7.18,7739.72
15,SBIN,996.2,0.0,-0.1044776119402985,HOLD,996.2,1,996.2,4.98,7739.72
18,UNIONBANK,176.56,0.0,-0.0845771144278606,HOLD,1412.48,8,1412.48,7.06,7739.72
