effective_date,symbol
2019-01-28,3MINDIA
2019-01-28,8KMILES
2019-01-28,AARTIIND
2019-01-28,ABB
2019-01-28,ABBOTINDIA
2019-01-28,ABCAPITAL
2019-01-28,ABREL
2019-01-28,ACC
2019-01-28,ADANIENSOL
2019-01-28,ADANIPOWER
2019-01-28,ADVENZYMES
2019-01-28,AEGISLOG
2019-01-28,AGCNETWO
2019-01-28,AIAENG
2019-01-28,AKZOINDIA
2019-01-28,ALKEM
2019-01-28,ALLCARGO
2019-01-28,ALTOS
2019-01-28,AMBALAL
2019-01-28,AMBUJACEM
2019-01-28,APLAPOLLO
2019-01-28,APOLLOHOSP
2019-01-28,APOLLOTYRE
2019-01-28,APPAPER
2019-01-28,APPLE
2019-01-28,ASHOKLEY
2019-01-28,ASIANPAINT
2019-01-28,ASTERDM
2019-01-28,ATUL
2019-01-28,ATULAUTO
2019-01-28,AUBANK
2019-01-28,AVANTIFEED
2019-01-28,AVERY
2019-01-28,AXISBANK
2019-01-28,BAJAJ
2019-01-28,BAJAJ-AUTO
2019-01-28,BAJAJHLDNG
2019-01-28,BAJFINANCE
2019-01-28,BALMLAWRIE
2019-01-28,BALRAMCHIN
2019-01-28,BANKBARODA
2019-01-28,BASF
2019-01-28,BATAINDIA
2019-01-28,BBTC
2019-01-28,BDL
2019-01-28,BEL
2019-01-28,BEML
2019-01-28,BERGEPAINT
2019-01-28,BHARATFORG
2019-01-28,BHARTIARTL
2019-01-28,BHEL
2019-01-28,BI
2019-01-28,BIOCON
2019-01-28,BIRLACORPN
2019-01-28,BLISSGVS
2019-01-28,BLUEDART
2019-01-28,BLUESTARCO
2019-01-28,BOMDYEING
2019-01-28,BOSCH-HCIL
2019-01-28,BOSCHLTD
2019-01-28,BPCL
2019-01-28,BRIGADE
2019-01-28,BRITANNIA
2019-01-28,BSE
2019-01-28,BSOFT
2019-01-28,CABLE
2019-01-28,CANBK
2019-01-28,CANFINHOME
2019-01-28,CAPLIN
2019-01-28,CASTROLIND
2019-01-28,CCL
2019-01-28,CDSL
2019-01-28,CEATLTD
2019-01-28,CENTRALBK
2019-01-28,CERA
2019-01-28,CGPOWER
2019-01-28,CHAMBLFERT
2019-01-28,CHEMINOR
2019-01-28,CHEMPLASTS
2019-01-28,CHENNPETRO
2019-01-28,CHETTINAD
2019-01-28,CHOLAFIN
2019-01-28,CHOLAHLDNG
2019-01-28,CIPLA
2019-01-28,CMC
2019-01-28,COALINDIA
2019-01-28,COCHINSHIP
2019-01-28,COFFEEDAY
2019-01-28,COFORGE
2019-01-28,COLPAL
2019-01-28,CONCOR
2019-01-28,CONSOFINVT
2019-01-28,COROMANDEL
2019-01-28,CREDITACC
2019-01-28,CRISIL
2019-01-28,CROMPTON
2019-01-28,CUB
2019-01-28,CUMMINSIND
2019-01-28,CYBERTECH
2019-01-28,DABUR
2019-01-28,DBCORP
2019-01-28,DBL
2019-01-28,DCAL
2019-01-28,DCLPOLYE
2019-01-28,DCW
2019-01-28,DEEPAKFERT
2019-01-28,DHAMPURSUG
2019-01-28,DHANBANK
2019-01-28,DHFL
2019-01-28,DICIND
2019-01-28,DIGJAMLMTD
2019-01-28,DISHTV
2019-01-28,DLF
2019-01-28,DMART
2019-01-28,DRREDDY
2019-01-28,DSQSOFTW
2019-01-28,ECLERX
2019-01-28,EICHERMOT
2019-01-28,EIDPARRY
2019-01-28,EIHOTEL
2019-01-28,ELECON
2019-01-28,ELGIEQUIP
2019-01-28,ELGIRUBCO
2019-01-28,ENDURANCE
2019-01-28,ENERGY
2019-01-28,ENGINERSIN
2019-01-28,ERIS
2019-01-28,ESCORTS
2019-01-28,ESSAR
2019-01-28,EXCEL
2019-01-28,EXCELINDUS
2019-01-28,EXIDEIND
2019-01-28,FACT
2019-01-28,FAGBEARI
2019-01-28,FDC
2019-01-28,FEDERALBNK
2019-01-28,FINCABLES
2019-01-28,FLFL
2019-01-28,FLUOROCHEM
2019-01-28,FORTIS
2019-01-28,FOSECOIND
2019-01-28,FULFORD
2019-01-28,GAEL
2019-01-28,GAIL
2019-01-28,GALAXYSURF
2019-01-28,GANESHBE
2019-01-28,GARDEN
2019-01-28,GAYAPROJ
2019-01-28,GESHIP
2019-01-28,GHCL
2019-01-28,GICRE
2019-01-28,GILLETTE
2019-01-28,GLAXO
2019-01-28,GLENMARK
2019-01-28,GLFL
2019-01-28,GMDCLTD
2019-01-28,GNFC
2019-01-28,GODFRYPHLP
2019-01-28,GODREJAGRO
2019-01-28,GODREJCP
2019-01-28,GODREJIND
2019-01-28,GOKEX
2019-01-28,GOODRICKE
2019-01-28,GOODYEAR
2019-01-28,GPPL
2019-01-28,GRANULES
2019-01-28,GRAPHITE
