Momentum Rank,ID Rank,Stock,Live Price,Momentum 12-2,Positive Days %,Negative Days %,ID,Portfolio Signal,Sell Reason,Exit Safety,Data Safety,Weight %,Sector,Sector Rank,Sector Stock Count
10,1,FEDERALBNK,331.29998779296875,0.8162250382517948,0.594059405940594,0.4059405940594059,-0.188118811881188,HOLD,,,VALID,2.0,Financial services,1,16
18,2,NATIONALUM,363.4500122070313,0.7113528489961773,0.594059405940594,0.4059405940594059,-0.188118811881188,HOLD,,,VALID,2.0,Metals,1,2
70,3,HINDALCO,1003.7999877929688,0.2878876115328568,0.5812807881773399,0.4187192118226601,-0.1625615763546797,HOLD,,,VALID,2.0,Metals,2,2
21,4,POWERINDIA,31150.0,0.6880758826541034,0.5792079207920792,0.4207920792079208,-0.1584158415841584,HOLD,,,VALID,2.0,Engineering & capital goods,1,10
3,5,ACUTAAS,3265.199951171875,1.3854218160558165,0.5792079207920792,0.4207920792079208,-0.1584158415841584,HOLD,,,VALID,2.0,Miscellaneous,1,3
15,6,BHEL,423.1000061035156,0.7212805661675057,0.572139303482587,0.4278606965174129,-0.144278606965174,HOLD,,,VALID,2.0,Engineering & capital goods,2,10
24,7,SHRIRAMFIN,1010.7999877929688,0.6505867114216162,0.5643564356435643,0.4356435643564356,-0.1287128712871286,HOLD,,,VALID,2.0,Financial services,2,16
13,8,LAURUSLABS,2034.0,0.7264511513290064,0.5615763546798029,0.438423645320197,-0.1231527093596058,HOLD,,,VALID,2.0,Healthcare,1,6
48,9,TORNTPHARM,4985.0,0.3994429899791754,0.5615763546798029,0.438423645320197,-0.1231527093596058,HOLD,,,VALID,2.0,Healthcare,2,6
64,10,INDUSINDBK,959.2999877929688,0.3335036424622102,0.5572139303482587,0.4427860696517413,-0.1144278606965174,HOLD,,,VALID,2.0,Financial services,3,16
12,11,BHARATFORG,2004.0,0.7461188666059675,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Engineering & capital goods,3,10
5,12,ATHERENERG,1499.4000244140625,1.1536849524136814,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Automobile,1,2
42,13,ABB,7120.0,0.4265365760497894,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Engineering & capital goods,4,10
43,14,CUMMINSIND,5010.0,0.4159369140588462,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Engineering & capital goods,5,10
14,15,HSCL,667.75,0.7241336007466499,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Chemicals,1,3
9,16,ADANIENSOL,1380.0,0.82012765459392,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Energy,1,1
97,17,BANKINDIA,139.64999389648438,0.2092983632552705,0.5517241379310345,0.4482758620689655,-0.1034482758620689,HOLD,,,VALID,2.0,Financial services,4,16
98,18,SUNPHARMA,1865.0,0.2088322442100965,0.5517241379310345,0.4482758620689655,-0.1034482758620689,BUY,,,VALID,2.0,Healthcare,3,6
6,19,RRKABEL,2476.699951171875,0.8494351842587835,0.5467980295566502,0.4532019704433497,-0.0935960591133004,HOLD,,,VALID,2.0,Engineering & capital goods,6,10
34,20,AIAENG,3970.0,0.4994927932858968,0.5445544554455446,0.4554455445544554,-0.0891089108910891,HOLD,,,VALID,2.0,Engineering & capital goods,7,10
45,21,GESHIP,1483.800048828125,0.4123478800617617,0.541871921182266,0.458128078817734,-0.083743842364532,HOLD,,,VALID,2.0,Logistics,1,1
26,22,NAVINFLUOR,8457.5,0.6392676678907807,0.541871921182266,0.458128078817734,-0.083743842364532,HOLD,,,VALID,2.0,Chemicals,2,3
51,23,ANANDRATHI,2169.199951171875,0.3838529815089218,0.541871921182266,0.458128078817734,-0.083743842364532,HOLD,,,VALID,2.0,Financial services,5,16
96,24,BIOCON,395.0,0.2120179924825929,0.5396039603960396,0.4603960396039604,-0.0792079207920792,BUY,,,VALID,2.0,Healthcare,4,6
89,25,UNIONBANK,180.0,0.2366044606791302,0.5396039603960396,0.4603960396039604,-0.0792079207920792,HOLD,,,VALID,2.0,Financial services,6,16
17,26,MCX,3374.0,0.7121355424222371,0.5369458128078818,0.4630541871921182,-0.0738916256157635,HOLD,,,VALID,2.0,Financial services,7,16
67,27,SOLARINDS,19730.0,0.3099542088315123,0.5369458128078818,0.4630541871921182,-0.0738916256157635,HOLD,,,VALID,2.0,Chemicals,3,3
16,28,SONACOMS,833.0,0.7187309410102565,0.5369458128078818,0.4630541871921182,-0.0738916256157635,HOLD,,,VALID,2.0,Auto ancillary,1,1
31,29,APARINDS,17876.0,0.5471415440200618,0.5369458128078818,0.4630541871921182,-0.0738916256157635,HOLD,,,VALID,2.0,Engineering & capital goods,8,10
44,30,MAHABANK,84.11000061035156,0.4143747283560344,0.5346534653465347,0.4653465346534653,-0.0693069306930693,HOLD,,,VALID,2.0,Financial services,8,16
20,31,BSE,3270.699951171875,0.6909005973685334,0.5320197044334976,0.4679802955665024,-0.0640394088669951,HOLD,,,VALID,2.0,Financial services,9,16
87,32,ASTERDM,760.0499877929688,0.2374102610720061,0.5320197044334976,0.4679802955665024,-0.0640394088669951,HOLD,,,VALID,2.0,Healthcare,5,6
27,33,GRANULES,860.25,0.6276250426343741,0.5297029702970297,0.4702970297029702,-0.0594059405940594,HOLD,,,VALID,2.0,Healthcare,6,6
72,34,BAJAJ-AUTO,11400.0,0.2735595427430894,0.5270935960591133,0.4729064039408867,-0.0541871921182266,HOLD,,,VALID,2.0,Automobile,2,2
22,35,SYRMA,1719.4000244140625,0.6872477408870736,0.5270935960591133,0.4729064039408867,-0.0541871921182266,HOLD,,,VALID,2.0,Engineering & capital goods,9,10
25,36,J&KBANK,149.25,0.646975041829791,0.5221674876847291,0.4778325123152709,-0.0443349753694581,HOLD,,,VALID,2.0,Financial services,10,16
