Stock,executive_summary,plan2_interpretation,fundamental_picture,quarterly_picture,price_move_explanation,volume_liquidity,sector_impact,global_impact,government_policy_impact,rbi_impact,sebi_impact,positive_factors,negative_factors,consider,do_not_assume,watch_next,risk_flags,evidence_confidence
FEDERALBNK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
NATIONALUM,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
HINDALCO,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ACUTAAS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
POWERINDIA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
BHEL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SHRIRAMFIN,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
LAURUSLABS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
BANKINDIA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
TORNTPHARM,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
INDUSINDBK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ATHERENERG,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ADANIENSOL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
BHARATFORG,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
RRKABEL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
AIAENG,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SBIN,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
CUMMINSIND,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ABB,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
HSCL,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
UNIONBANK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
NAVINFLUOR,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ANANDRATHI,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SONACOMS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
MCX,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
APARINDS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SOLARINDS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
MAHABANK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
GESHIP,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
BSE,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
ASTERDM,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
GRANULES,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
J&KBANK,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
SYRMA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
PFOCUS,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
NYKAA,AI research unavailable for this run.,Use the Plan 2 fields supplied on the dashboard.,No AI conclusion.,No AI conclusion.,No clear evidence available.,No AI conclusion.,Not established.,Not established.,Not established.,Not established.,Not established.,[],[],['Retry after the AI/data service is available.'],['Do not infer a catalyst from price movement alone.'],"['Next quarterly result', 'New company filings', 'Material sector/policy changes']",['AI unavailable'],Low
