Stock,Source Type,Publisher,Date,Title,URL
FEDERALBNK,News discovery,Retail Banker International,2026-09-08T12:00:53Z,Blackstone explores stake in India’s IIFL Finance – report,https://www.retailbankerinternational.com/news/blackstone-explores-stake-in-indias-iifl-finance-report/
FEDERALBNK,News discovery,Investing.com,2026-08-29T02:31:53Z,Indian bank stocks show widest exchange price gap in decades,https://finance.yahoo.com/markets/stocks/articles/indian-bank-stocks-show-widest-023153299.html
FEDERALBNK,News discovery,Reuters,2026-08-24T03:28:17Z,"India's Federal Bank latest lender to tap dollar debt market via GIFT City, bankers say",https://sg.finance.yahoo.com/news/indias-federal-bank-latest-lender-032817854.html
FEDERALBNK,News discovery,Reuters,2026-08-18T13:11:34Z,"Four Indian private lenders eye dollar debt before RBI swap window deadline, bankers say",https://sg.finance.yahoo.com/news/four-indian-private-lenders-eye-131134816.html
FEDERALBNK,News discovery,Simply Wall St.,2026-08-03T00:15:17Z,Federal Bank (NSEI:FEDERALBNK) Stock Gets Fair Value Boost Before Board Results Review,https://finance.yahoo.com/markets/stocks/articles/federal-bank-nsei-federalbnk-stock-001517466.html
FEDERALBNK,News discovery,GuruFocus.com,2026-07-20T01:00:24Z,The Federal Bank Ltd (LSE:FEDS) Q1 2027 Earnings Call Highlights: Strong Profit Growth and ...,https://finance.yahoo.com/markets/stocks/articles/federal-bank-ltd-lse-feds-010024291.html
FEDERALBNK,News discovery,Simply Wall St.,2026-07-19T21:07:59Z,Federal Bank (NSEI:FEDERALBNK) Stock Sees Modest Fair Value Lift On Refined Analyst Assumptions,https://finance.yahoo.com/markets/stocks/articles/federal-bank-nsei-federalbnk-stock-210759367.html
FEDERALBNK,News discovery,Simply Wall St.,2026-06-15T00:14:55Z,Federal Bank (NSEI:FEDERALBNK) Stock Sees Split Analyst Revisions On Valuation Inputs,https://finance.yahoo.com/markets/stocks/articles/federal-bank-nsei-federalbnk-stock-001455959.html
NATIONALUM,News discovery,GuruFocus.com,2026-08-04T01:06:26Z,National Aluminium Co Ltd (BOM:532234) (Q1 2027) Earnings Call Highlights: Record Production ...,https://finance.yahoo.com/markets/stocks/articles/national-aluminium-co-ltd-bom-010626027.html
NATIONALUM,News discovery,Power Technology,2026-07-09T13:12:37Z,NLCIL and NALCO partner on 1.08GW thermal plant in Odisha,https://www.power-technology.com/news/nlc-india-nalco-1080mw-thermal-plant-odisha/
NATIONALUM,News discovery,Reuters,2026-05-13T06:22:59Z,"Four Indian stocks added, four excluded from key global index in MSCI's May rejig",https://sg.finance.yahoo.com/news/four-indian-stocks-added-four-062259757.html
NATIONALUM,News discovery,GuruFocus.com,2026-05-01T19:01:18Z,National Aluminium Co Ltd (BOM:532234) Q4 2026 Earnings Call Highlights: Record Growth Amidst ...,https://finance.yahoo.com/markets/stocks/articles/national-aluminium-co-ltd-bom-190118786.html
NATIONALUM,News discovery,Reuters,2026-04-30T10:31:36Z,India's NALCO posts quarterly profit drop on alumina softness,https://sg.finance.yahoo.com/news/indias-nalco-posts-quarterly-profit-103136152.html
NATIONALUM,News discovery,Power Technology,2026-02-16T11:13:31Z,"NLCIL, NALCO sign thermal and renewable energy development deal",https://www.power-technology.com/news/nlcil-nalco-thermal-renewable-energy/
NATIONALUM,News discovery,GuruFocus.com,2026-02-04T01:01:48Z,National Aluminium Co Ltd (BOM:532234) Q3 2026 Earnings Call Highlights: Strong Revenue Growth ...,https://finance.yahoo.com/news/national-aluminium-co-ltd-bom-010148778.html
NATIONALUM,News discovery,Reuters,2026-01-30T10:11:06Z,India's NALCO posts rise in quarterly profit on higher aluminium prices,https://sg.finance.yahoo.com/news/indias-nalco-posts-rise-quarterly-101106065.html
